slaveside_jv3301Master_lasse100TC_vostroSlave.txt
ptp4l[564413.554]: selected /dev/ptp0 as PTP clock
ptp4l[564413.593]: port 1 (enp1s0f1): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564413.593]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564413.593]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[564419.727]: port 1 (enp1s0f1): new foreign master a0369f.fffe.f93e34-1
ptp4l[564420.652]: selected local clock a0369f.fffe.f9498d as best master
ptp4l[564423.327]: selected best master clock a0369f.fffe.f93e34
ptp4l[564423.327]: port 1 (enp1s0f1): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[564582.656]: master offset        -16 s2 freq   -3090 path delay      3926
ptp4l[564583.556]: master offset        -10 s2 freq   -3088 path delay      3926
ptp4l[564584.456]: master offset         10 s2 freq   -3071 path delay      3923
ptp4l[564585.356]: master offset          9 s2 freq   -3069 path delay      3923
ptp4l[564586.256]: master offset         10 s2 freq   -3066 path delay      3920
ptp4l[564587.156]: master offset          4 s2 freq   -3069 path delay      3920
ptp4l[564588.056]: master offset        -24 s2 freq   -3095 path delay      3920
ptp4l[564588.957]: master offset        -15 s2 freq   -3094 path delay      3921
ptp4l[564589.857]: master offset         -6 s2 freq   -3089 path delay      3921
ptp4l[564590.757]: master offset         25 s2 freq   -3060 path delay      3921
ptp4l[564591.657]: master offset          1 s2 freq   -3076 path delay      3921
ptp4l[564592.557]: master offset          6 s2 freq   -3071 path delay      3921
ptp4l[564593.457]: master offset         -7 s2 freq   -3082 path delay      3921
ptp4l[564594.357]: master offset         -9 s2 freq   -3086 path delay      3921
ptp4l[564595.257]: master offset         -6 s2 freq   -3086 path delay      3920
ptp4l[564596.157]: master offset         22 s2 freq   -3060 path delay      3920
ptp4l[564597.057]: master offset         -3 s2 freq   -3078 path delay      3920
ptp4l[564597.958]: master offset        -23 s2 freq   -3099 path delay      3921
ptp4l[564598.858]: master offset          5 s2 freq   -3078 path delay      3921
ptp4l[564599.758]: master offset         11 s2 freq   -3071 path delay      3921
ptp4l[564600.658]: master offset        -27 s2 freq   -3105 path delay      3922
ptp4l[564601.558]: master offset          6 s2 freq   -3080 path delay      3922
ptp4l[564602.458]: master offset        -14 s2 freq   -3099 path delay      3925
ptp4l[564603.358]: master offset          1 s2 freq   -3088 path delay      3925
ptp4l[564604.258]: master offset          5 s2 freq   -3084 path delay      3925
ptp4l[564605.158]: master offset          6 s2 freq   -3081 path delay      3923
ptp4l[564606.058]: master offset          3 s2 freq   -3082 path delay      3923
ptp4l[564606.959]: master offset          3 s2 freq   -3081 path delay      3921
ptp4l[564607.859]: master offset         13 s2 freq   -3070 path delay      3921
ptp4l[564608.759]: master offset        -14 s2 freq   -3094 path delay      3921
ptp4l[564609.659]: master offset          9 s2 freq   -3075 path delay      3919
ptp4l[564610.559]: master offset          0 s2 freq   -3081 path delay      3919
ptp4l[564611.459]: master offset        -15 s2 freq   -3096 path delay      3919
ptp4l[564612.359]: master offset         10 s2 freq   -3076 path delay      3918
ptp4l[564613.259]: master offset          2 s2 freq   -3081 path delay      3918
ptp4l[564614.159]: master offset        -31 s2 freq   -3113 path delay      3922
ptp4l[564615.059]: master offset         11 s2 freq   -3080 path delay      3922
ptp4l[564615.959]: master offset         -9 s2 freq   -3097 path delay      3925
ptp4l[564616.860]: master offset          4 s2 freq   -3087 path delay      3925
ptp4l[564617.760]: master offset         -7 s2 freq   -3096 path delay      3925
ptp4l[564618.660]: master offset         10 s2 freq   -3082 path delay      3921
ptp4l[564619.560]: master offset        -12 s2 freq   -3101 path delay      3927
ptp4l[564620.460]: master offset         -5 s2 freq   -3097 path delay      3924
ptp4l[564621.360]: master offset         24 s2 freq   -3070 path delay      3920
ptp4l[564622.260]: master offset         10 s2 freq   -3076 path delay      3920
ptp4l[564623.160]: master offset        -26 s2 freq   -3109 path delay      3924
ptp4l[564624.060]: master offset        -13 s2 freq   -3104 path delay      3924
ptp4l[564624.961]: master offset         24 s2 freq   -3071 path delay      3920
ptp4l[564625.861]: master offset        -27 s2 freq   -3115 path delay      3931
ptp4l[564626.761]: master offset         17 s2 freq   -3079 path delay      3931
ptp4l[564627.661]: master offset         -1 s2 freq   -3092 path delay      3931
ptp4l[564628.561]: master offset         20 s2 freq   -3071 path delay      3931
ptp4l[564629.461]: master offset          7 s2 freq   -3078 path delay      3931
ptp4l[564630.361]: master offset         13 s2 freq   -3070 path delay      3931
ptp4l[564631.261]: master offset          5 s2 freq   -3074 path delay      3926
ptp4l[564632.161]: master offset         -4 s2 freq   -3082 path delay      3925
ptp4l[564633.061]: master offset         -7 s2 freq   -3086 path delay      3925
ptp4l[564633.962]: master offset          5 s2 freq   -3076 path delay      3928
ptp4l[564634.862]: master offset        -14 s2 freq   -3094 path delay      3927
ptp4l[564635.762]: master offset        -17 s2 freq   -3101 path delay      3925
ptp4l[564636.662]: master offset        -12 s2 freq   -3101 path delay      3925
ptp4l[564637.562]: master offset          4 s2 freq   -3088 path delay      3925
ptp4l[564638.462]: master offset          8 s2 freq   -3083 path delay      3925
ptp4l[564639.362]: master offset         32 s2 freq   -3057 path delay      3925
ptp4l[564640.262]: master offset        -10 s2 freq   -3089 path delay      3927
ptp4l[564641.162]: master offset         22 s2 freq   -3060 path delay      3925
ptp4l[564642.062]: master offset        -14 s2 freq   -3090 path delay      3926
ptp4l[564642.963]: master offset         -9 s2 freq   -3089 path delay      3926
ptp4l[564643.863]: master offset         11 s2 freq   -3072 path delay      3923
ptp4l[564644.763]: master offset         -2 s2 freq   -3081 path delay      3923
ptp4l[564645.663]: master offset         -4 s2 freq   -3084 path delay      3923
ptp4l[564646.563]: master offset          9 s2 freq   -3072 path delay      3922
ptp4l[564647.463]: master offset         23 s2 freq   -3055 path delay      3921
ptp4l[564648.363]: master offset        -10 s2 freq   -3081 path delay      3925
ptp4l[564649.263]: master offset        -13 s2 freq   -3087 path delay      3925
ptp4l[564650.163]: master offset        -23 s2 freq   -3101 path delay      3926
ptp4l[564651.063]: master offset          7 s2 freq   -3078 path delay      3926
ptp4l[564651.963]: master offset         -9 s2 freq   -3092 path delay      3923
ptp4l[564652.863]: master offset         12 s2 freq   -3074 path delay      3923
ptp4l[564653.764]: master offset        -12 s2 freq   -3094 path delay      3923
ptp4l[564654.664]: master offset         -1 s2 freq   -3087 path delay      3923
ptp4l[564655.564]: master offset        -25 s2 freq   -3111 path delay      3924
ptp4l[564656.464]: master offset         27 s2 freq   -3067 path delay      3924
ptp4l[564657.364]: master offset         -4 s2 freq   -3090 path delay      3925
ptp4l[564658.264]: master offset         15 s2 freq   -3072 path delay      3924
ptp4l[564659.164]: master offset          2 s2 freq   -3080 path delay      3924
ptp4l[564660.064]: master offset        -26 s2 freq   -3108 path delay      3924
ptp4l[564660.964]: master offset         11 s2 freq   -3078 path delay      3923
ptp4l[564661.865]: master offset        -20 s2 freq   -3106 path delay      3923
ptp4l[564662.765]: master offset          2 s2 freq   -3090 path delay      3922
ptp4l[564663.665]: master offset         21 s2 freq   -3071 path delay      3922
ptp4l[564664.565]: master offset        -17 s2 freq   -3102 path delay      3922
ptp4l[564665.465]: master offset         15 s2 freq   -3075 path delay      3920
ptp4l[564666.365]: master offset        -19 s2 freq   -3105 path delay      3920
ptp4l[564667.265]: master offset         17 s2 freq   -3075 path delay      3917
ptp4l[564668.165]: master offset         20 s2 freq   -3066 path delay      3917
ptp4l[564669.065]: master offset         -1 s2 freq   -3081 path delay      3920
ptp4l[564669.965]: master offset         -3 s2 freq   -3084 path delay      3920
ptp4l[564670.866]: master offset         19 s2 freq   -3063 path delay      3922
ptp4l[564671.766]: master offset         -2 s2 freq   -3078 path delay      3922
ptp4l[564672.666]: master offset          5 s2 freq   -3072 path delay      3921
ptp4l[564673.566]: master offset          5 s2 freq   -3070 path delay      3921
ptp4l[564674.466]: master offset          2 s2 freq   -3072 path delay      3922
ptp4l[564675.366]: master offset        -37 s2 freq   -3110 path delay      3923
ptp4l[564676.266]: master offset         13 s2 freq   -3071 path delay      3923
ptp4l[564677.166]: master offset         26 s2 freq   -3054 path delay      3923
ptp4l[564678.066]: master offset         -8 s2 freq   -3080 path delay      3927
ptp4l[564678.966]: master offset         -8 s2 freq   -3083 path delay      3923
ptp4l[564679.867]: master offset          3 s2 freq   -3074 path delay      3923
ptp4l[564680.767]: master offset          6 s2 freq   -3070 path delay      3923
ptp4l[564681.667]: master offset        -11 s2 freq   -3085 path delay      3926
ptp4l[564682.567]: master offset         -9 s2 freq   -3087 path delay      3926
ptp4l[564683.467]: master offset        -17 s2 freq   -3097 path delay      3923
ptp4l[564684.367]: master offset         -4 s2 freq   -3090 path delay      3923
ptp4l[564685.267]: master offset          1 s2 freq   -3086 path delay      3923
ptp4l[564686.167]: master offset          4 s2 freq   -3082 path delay      3922
ptp4l[564687.067]: master offset        -10 s2 freq   -3095 path delay      3922
ptp4l[564687.967]: master offset         14 s2 freq   -3074 path delay      3922
ptp4l[564688.868]: master offset        -10 s2 freq   -3094 path delay      3923
ptp4l[564689.768]: master offset          0 s2 freq   -3087 path delay      3923
ptp4l[564690.668]: master offset         -9 s2 freq   -3096 path delay      3923
ptp4l[564691.568]: master offset         14 s2 freq   -3076 path delay      3923
ptp4l[564692.468]: master offset         20 s2 freq   -3066 path delay      3923
ptp4l[564693.368]: master offset        -12 s2 freq   -3092 path delay      3923
ptp4l[564694.268]: master offset        -17 s2 freq   -3100 path delay      3923
ptp4l[564695.168]: master offset         -2 s2 freq   -3090 path delay      3923
ptp4l[564696.068]: master offset         -7 s2 freq   -3096 path delay      3922
ptp4l[564696.968]: master offset          4 s2 freq   -3087 path delay      3922
ptp4l[564697.868]: master offset         -6 s2 freq   -3096 path delay      3923
ptp4l[564698.769]: master offset          6 s2 freq   -3086 path delay      3922
ptp4l[564699.669]: master offset         -4 s2 freq   -3094 path delay      3922
ptp4l[564700.569]: master offset          3 s2 freq   -3088 path delay      3924
ptp4l[564701.469]: master offset        -17 s2 freq   -3107 path delay      3924
ptp4l[564702.369]: master offset          7 s2 freq   -3088 path delay      3922
ptp4l[564703.269]: master offset          9 s2 freq   -3084 path delay      3924
ptp4l[564704.169]: master offset         10 s2 freq   -3080 path delay      3923
ptp4l[564705.069]: master offset         17 s2 freq   -3070 path delay      3924
ptp4l[564705.969]: master offset         -9 s2 freq   -3091 path delay      3924
ptp4l[564706.869]: master offset        -14 s2 freq   -3099 path delay      3924
ptp4l[564707.770]: master offset         -9 s2 freq   -3098 path delay      3921
ptp4l[564708.670]: master offset         16 s2 freq   -3076 path delay      3922
ptp4l[564709.570]: master offset         20 s2 freq   -3067 path delay      3922
ptp4l[564710.470]: master offset          3 s2 freq   -3078 path delay      3922
ptp4l[564711.370]: master offset         -3 s2 freq   -3083 path delay      3922
ptp4l[564712.270]: master offset        -17 s2 freq   -3098 path delay      3922
ptp4l[564713.170]: master offset         -2 s2 freq   -3088 path delay      3922
ptp4l[564714.070]: master offset          2 s2 freq   -3085 path delay      3922
ptp4l[564714.970]: master offset          2 s2 freq   -3084 path delay      3922
ptp4l[564715.870]: master offset          2 s2 freq   -3084 path delay      3922
ptp4l[564716.770]: master offset         -2 s2 freq   -3087 path delay      3925
ptp4l[564717.671]: master offset          0 s2 freq   -3086 path delay      3925
ptp4l[564718.571]: master offset        -11 s2 freq   -3097 path delay      3925
ptp4l[564719.471]: master offset          2 s2 freq   -3087 path delay      3925
ptp4l[564720.371]: master offset         -9 s2 freq   -3097 path delay      3926
ptp4l[564721.271]: master offset          4 s2 freq   -3087 path delay      3926
ptp4l[564722.171]: master offset        -18 s2 freq   -3108 path delay      3926
ptp4l[564723.071]: master offset         18 s2 freq   -3077 path delay      3926
ptp4l[564723.971]: master offset        -18 s2 freq   -3108 path delay      3929
ptp4l[564724.871]: master offset         21 s2 freq   -3074 path delay      3927
ptp4l[564725.772]: master offset         11 s2 freq   -3078 path delay      3927
ptp4l[564726.672]: master offset        -21 s2 freq   -3107 path delay      3927
ptp4l[564727.572]: master offset          5 s2 freq   -3087 path delay      3924
ptp4l[564728.472]: master offset         23 s2 freq   -3067 path delay      3921
ptp4l[564729.372]: master offset          3 s2 freq   -3080 path delay      3924
ptp4l[564730.272]: master offset          2 s2 freq   -3081 path delay      3922
ptp4l[564731.172]: master offset        -18 s2 freq   -3100 path delay      3925
ptp4l[564732.072]: master offset         -2 s2 freq   -3089 path delay      3925
ptp4l[564732.972]: master offset          3 s2 freq   -3085 path delay      3925
ptp4l[564733.872]: master offset          4 s2 freq   -3083 path delay      3925
ptp4l[564734.773]: master offset         17 s2 freq   -3069 path delay      3924
ptp4l[564735.673]: master offset          1 s2 freq   -3080 path delay      3924
ptp4l[564736.573]: master offset         -3 s2 freq   -3083 path delay      3924
ptp4l[564737.473]: master offset         -6 s2 freq   -3087 path delay      3925
ptp4l[564738.373]: master offset        -15 s2 freq   -3098 path delay      3925
ptp4l[564739.273]: master offset        -13 s2 freq   -3101 path delay      3925
ptp4l[564740.173]: master offset          1 s2 freq   -3091 path delay      3927
ptp4l[564741.073]: master offset         11 s2 freq   -3080 path delay      3925
ptp4l[564741.973]: master offset         19 s2 freq   -3069 path delay      3925
ptp4l[564742.873]: master offset        -23 s2 freq   -3105 path delay      3927
ptp4l[564743.774]: master offset          0 s2 freq   -3089 path delay      3925
ptp4l[564744.674]: master offset         16 s2 freq   -3073 path delay      3926
ptp4l[564745.574]: master offset         -9 s2 freq   -3093 path delay      3927
ptp4l[564746.474]: master offset        -25 s2 freq   -3112 path delay      3927
ptp4l[564747.374]: master offset          3 s2 freq   -3092 path delay      3927
ptp4l[564748.274]: master offset         24 s2 freq   -3070 path delay      3926
ptp4l[564749.174]: master offset        -15 s2 freq   -3101 path delay      3926
ptp4l[564750.074]: master offset        -10 s2 freq   -3101 path delay      3926
ptp4l[564750.974]: master offset         -6 s2 freq   -3100 path delay      3925
ptp4l[564751.874]: master offset         23 s2 freq   -3073 path delay      3925
ptp4l[564752.774]: master offset         12 s2 freq   -3077 path delay      3925
ptp4l[564753.675]: master offset         -8 s2 freq   -3093 path delay      3925
ptp4l[564754.575]: master offset          0 s2 freq   -3088 path delay      3925
ptp4l[564755.475]: master offset        -10 s2 freq   -3098 path delay      3926
